mamba_name	mamba_node	value	mean	2.5%	25.0%	50.0%	75.0%	97.5%
β[1, 1]	β	0.0	0.006709651579289919	-0.06603686543620153	0.0	0.0	0.0	0.22064295922497218
β[2, 1]	β	0.0	-0.031880923244395086	-0.2579567940359725	0.0	0.0	0.0	0.08704060509711514
β[3, 1]	β	0.0	-0.0030290408727704395	-0.15389386090259466	0.0	0.0	0.0	0.04067820013745217
β[4, 1]	β	0.0	0.002086974311954326	-0.11197052264996596	0.0	0.0	0.0	0.09983854211449568
β[5, 1]	β	0.0	-0.002531264983320331	-0.10987070007815387	0.0	0.0	0.0	0.060636252266948076
β[6, 1]	β	0.0	-0.018991503759158635	-0.34704669402737154	0.0	0.0	0.0	0.06567208519291665
β[7, 1]	β	0.0	-0.003893942678509405	-0.13070691019596412	0.0	0.0	0.0	0.06822624966143559
β[8, 1]	β	0.0	-0.007177467213000499	-0.19359983563895833	0.0	0.0	0.0	0.12966004492927455
β[9, 1]	β	0.0	0.001385194006198815	-0.11276306982932116	0.0	0.0	0.0	0.06979021263549295
β[10, 1]	β	0.0	0.0017199079679976388	-0.07366273797051875	0.0	0.0	0.0	0.0694008954082209
β[11, 1]	β	0.0	-0.013862252917276155	-0.36704199503505713	0.0	0.0	0.0	0.15404898932790892
β[12, 1]	β	0.0	-0.01569885996431609	-0.3108768652662747	0.0	0.0	0.0	0.02444020252972396
β[13, 1]	β	0.0	-0.010059062726143032	-0.4327569594890329	0.0	0.0	0.0	0.19945391561926956
β[14, 1]	β	0.0	-0.04178083736448448	-0.6615251653977898	0.0	0.0	0.0	0.0896069578940237
β[15, 1]	β	0.0	-0.0336837312339428	-0.6477035504505297	0.0	0.0	0.0	0.05123240759914059
β[16, 1]	β	0.0	-0.01387356362450012	-0.37274542782464826	0.0	0.0	0.0	0.1783187059617889
β[17, 1]	β	0.0	-0.037517913042178754	-0.24985761425120068	0.0	0.0	0.0	0.10154631535510848
β[18, 1]	β	0.0	-0.006516975453978319	-0.21668710517364528	0.0	0.0	0.0	0.10288429698746349
β[19, 1]	β	0.0	0.012179471683553971	-0.06114910667450114	0.0	0.0	0.0	0.15761840458645426
β[20, 1]	β	0.0	-0.008208025604424109	-0.08252383502216326	0.0	0.0	0.0	0.0649256225701599
β[21, 1]	β	0.0	-0.01053205363422965	-0.1828904652780383	0.0	0.0	0.0	0.04929633509682786
β[22, 1]	β	0.0	0.0017909147539173957	-0.11568159556745268	0.0	0.0	0.0	0.09266733027982557
β[23, 1]	β	0.0	-0.007898477365297354	-0.19743943209800058	0.0	0.0	0.0	0.11826972487037442
β[24, 1]	β	0.0	-0.0030952364948452055	-0.12028216936312328	0.0	0.0	0.0	0.08452474189532311
β[25, 1]	β	0.0	-0.015459109886189346	-0.5385794480967766	0.0	0.0	0.0	0.26149594352915045
β[26, 1]	β	0.0	0.010563374247821099	-0.14066783195288027	0.0	0.0	0.0	0.2957686598778128
β[27, 1]	β	0.0	0.008351580778825527	-0.1730563538827764	0.0	0.0	0.0	0.3881496522729485
