mamba_name	mamba_node	value	mean	2.5%	25.0%	50.0%	75.0%	97.5%
β[1, 1]	β	0.0	0.0021084267246455992	0.0	0.0	0.0	0.0	0.0
β[2, 1]	β	0.0	0.0012339195431370206	0.0	0.0	0.0	0.0	0.0
β[3, 1]	β	0.0	-0.010499856030659012	0.0	0.0	0.0	0.0	0.0
β[4, 1]	β	0.0	-0.0067420111676055605	0.0	0.0	0.0	0.0	0.0
β[5, 1]	β	0.0	-0.001290769207601177	0.0	0.0	0.0	0.0	0.0
β[6, 1]	β	0.0	0.0005039099338185178	0.0	0.0	0.0	0.0	0.0
β[7, 1]	β	0.0	0.003834272950804471	0.0	0.0	0.0	0.0	0.0
β[8, 1]	β	0.0	0.00579270866683027	0.0	0.0	0.0	0.0	0.0
β[9, 1]	β	0.0	-0.007060574907425781	0.0	0.0	0.0	0.0	0.0
β[10, 1]	β	0.0	-0.0016830767834415655	0.0	0.0	0.0	0.0	0.0
β[11, 1]	β	0.0	-0.008216972413274895	0.0	0.0	0.0	0.0	0.0
β[12, 1]	β	0.0	-0.003449081874244976	0.0	0.0	0.0	0.0	0.0
β[13, 1]	β	0.0	-0.004204893312695298	0.0	0.0	0.0	0.0	0.0
β[14, 1]	β	0.0	-0.019187769298448717	0.0	0.0	0.0	0.0	0.0
β[15, 1]	β	0.0	-0.012482455682010302	0.0	0.0	0.0	0.0	0.0
β[16, 1]	β	0.0	-0.012844464833598909	0.0	0.0	0.0	0.0	0.0
β[17, 1]	β	0.0	-0.017455908088445066	0.0	0.0	0.0	0.0	0.0
β[18, 1]	β	0.0	-0.08223160578370144	-1.4201424964455829	0.0	0.0	0.0	0.0
β[19, 1]	β	0.0	-0.0019117391325815967	0.0	0.0	0.0	0.0	0.0
β[20, 1]	β	0.0	0.0064264319251851965	0.0	0.0	0.0	0.0	0.0
β[21, 1]	β	0.0	0.0035171794750669797	0.0	0.0	0.0	0.0	0.0
β[22, 1]	β	0.0	-0.015918489695828694	0.0	0.0	0.0	0.0	0.0
β[23, 1]	β	0.0	-0.13165557869990216	-2.7085734354569646	0.0	0.0	0.0	0.0
β[24, 1]	β	0.0	0.007480310979140305	0.0	0.0	0.0	0.0	0.0
β[25, 1]	β	0.0	0.0015573814677089014	0.0	0.0	0.0	0.0	0.0
β[26, 1]	β	0.0	0.003098483622389181	0.0	0.0	0.0	0.0	0.0
β[27, 1]	β	0.0	0.00020021782555908275	0.0	0.0	0.0	0.0	0.0
β[28, 1]	β	0.0	0.002009091589201887	0.0	0.0	0.0	0.0	0.0
β[29, 1]	β	0.0	0.010448246593365436	0.0	0.0	0.0	0.0	0.0
β[30, 1]	β	0.0	0.035344481336915846	0.0	0.0	0.0	0.0	0.6298407796119403
β[31, 1]	β	1.152118324825933	0.2669941345969877	0.0	0.0	0.0	0.0	2.0255538898709586
β[32, 1]	β	1.152118324825933	0.27221027091507927	0.0	0.0	0.0	0.0	2.1220723679823053
β[33, 1]	β	1.152118324825933	0.07920523555953261	0.0	0.0	0.0	0.0	1.3106425701325553
β[34, 1]	β	1.152118324825933	0.49024516959979286	0.0	0.0	0.0	1.1135016229121624	2.141328235032599
β[35, 1]	β	1.152118324825933	0.13287285362943282	0.0	0.0	0.0	0.0	2.397870524566589
β[36, 1]	β	0.0	4.508726118042339e-5	0.0	0.0	0.0	0.0	0.0
β[37, 1]	β	0.0	-0.005869959957914547	0.0	0.0	0.0	0.0	0.0
β[38, 1]	β	0.0	-0.020321894853768323	0.0	0.0	0.0	0.0	0.0
β[39, 1]	β	0.0	-0.00047789801292574114	0.0	0.0	0.0	0.0	0.0
β[40, 1]	β	0.0	-0.002862468164918113	0.0	0.0	0.0	0.0	0.0
β[41, 1]	β	0.0	-0.008119493749476604	0.0	0.0	0.0	0.0	0.0
β[42, 1]	β	0.0	-0.026620580041442694	-0.37967289284177375	0.0	0.0	0.0	0.0
β[43, 1]	β	0.0	-0.02482385816406237	-0.3421531381159182	0.0	0.0	0.0	0.0
β[44, 1]	β	0.0	-0.03459766635636447	-0.12427397759082354	0.0	0.0	0.0	0.0
β[45, 1]	β	0.0	-0.06237109589422654	-1.0322225214175147	0.0	0.0	0.0	0.0
β[46, 1]	β	-2.7935415173026916	-4.593952206930101	-9.109175882695267	-5.163583365182618	-4.1905860912631	-3.4107746138942723	-1.7252087962824374
β[47, 1]	β	-2.7935415173026916	-3.4430903990733728	-6.729158873529613	-4.037991970928396	-3.28285049078183	-2.6363501249037284	-0.9891034229877371
β[48, 1]	β	-2.7935415173026916	-3.106159413813687	-6.069386889688193	-3.7493908436140475	-3.01298418864958	-2.4568906147561345	0.0
β[49, 1]	β	-2.7935415173026916	-4.445931943095064	-9.291461723006622	-5.389737665527031	-3.867314932953132	-3.112389234108562	-1.9304948456145639
β[50, 1]	β	-2.7935415173026916	-1.5718627142178538	-3.913242546524848	-2.6827806287274125	-1.9052357638002684	0.0	0.0
β[51, 1]	β	0.0	-0.020977611964177967	0.0	0.0	0.0	0.0	0.0
β[52, 1]	β	0.0	-0.0034501997694291594	0.0	0.0	0.0	0.0	0.0
β[53, 1]	β	0.0	0.0032919732838062733	0.0	0.0	0.0	0.0	0.0
β[54, 1]	β	0.0	-0.016646547637847432	0.0	0.0	0.0	0.0	0.0
β[55, 1]	β	0.0	0.0018384886822918067	0.0	0.0	0.0	0.0	0.0
β[56, 1]	β	0.0	-0.004030766655438404	0.0	0.0	0.0	0.0	0.0
β[57, 1]	β	0.0	0.004689202067099745	0.0	0.0	0.0	0.0	0.0
β[58, 1]	β	0.0	0.009731643607242239	0.0	0.0	0.0	0.0	0.0
β[59, 1]	β	0.0	0.007594143674989837	0.0	0.0	0.0	0.0	0.0
β[60, 1]	β	0.0	0.028046507858371882	0.0	0.0	0.0	0.0	0.40758925062911316
β[61, 1]	β	0.0	0.39562860165368297	0.0	0.0	0.0	0.32414698059951863	2.272963445531893
β[62, 1]	β	0.0	0.02675965862673109	0.0	0.0	0.0	0.0	0.14532490857158756
β[63, 1]	β	0.0	0.17022545778455908	0.0	0.0	0.0	0.0	1.601799735218265
β[64, 1]	β	0.0	0.04907093317461163	0.0	0.0	0.0	0.0	0.9467214591352892
β[65, 1]	β	0.0	0.07581348174639087	0.0	0.0	0.0	0.0	1.3745421487307652
β[66, 1]	β	0.0	0.00581863819344375	0.0	0.0	0.0	0.0	0.0
β[67, 1]	β	0.0	0.0028620105772709055	0.0	0.0	0.0	0.0	0.0
β[68, 1]	β	0.0	0.007398887574476191	0.0	0.0	0.0	0.0	0.0
β[69, 1]	β	0.0	0.0026617315259411054	0.0	0.0	0.0	0.0	0.0
β[70, 1]	β	0.0	-0.0005602124172855566	0.0	0.0	0.0	0.0	0.0
β[71, 1]	β	0.0	-0.0018494925869527012	0.0	0.0	0.0	0.0	0.0
β[72, 1]	β	0.0	0.0006536911230422955	0.0	0.0	0.0	0.0	0.0
β[73, 1]	β	0.0	-0.0014584817783287458	0.0	0.0	0.0	0.0	0.0
β[74, 1]	β	0.0	-0.004310313219171494	0.0	0.0	0.0	0.0	0.0
β[75, 1]	β	0.0	0.003930619986659747	0.0	0.0	0.0	0.0	0.0
β[76, 1]	β	0.0	0.002988732964336766	0.0	0.0	0.0	0.0	0.0
β[77, 1]	β	0.0	-0.003613005549853054	0.0	0.0	0.0	0.0	0.0
β[78, 1]	β	0.0	0.001428501799990748	0.0	0.0	0.0	0.0	0.0
β[79, 1]	β	0.0	-0.0002930245736221136	0.0	0.0	0.0	0.0	0.0
β[80, 1]	β	0.0	-0.03503117137689078	-0.8674420214939149	0.0	0.0	0.0	0.0
β[81, 1]	β	0.0	-0.007359199733738241	0.0	0.0	0.0	0.0	0.0
β[82, 1]	β	0.0	-0.010494410810993766	0.0	0.0	0.0	0.0	0.0
β[83, 1]	β	0.0	-0.016950435336085593	0.0	0.0	0.0	0.0	0.0
β[84, 1]	β	0.0	0.0020457286574214195	0.0	0.0	0.0	0.0	0.0
β[85, 1]	β	0.0	-0.0013997820024105787	0.0	0.0	0.0	0.0	0.0
β[86, 1]	β	0.0	-0.00333829172629565	0.0	0.0	0.0	0.0	0.0
β[87, 1]	β	0.0	0.0004386922408239979	0.0	0.0	0.0	0.0	0.0
β[88, 1]	β	0.0	-0.012826568163003461	0.0	0.0	0.0	0.0	0.0
β[89, 1]	β	0.0	0.00171733120555154	0.0	0.0	0.0	0.0	0.0
β[90, 1]	β	0.0	-0.016417088135938118	0.0	0.0	0.0	0.0	0.0
β[91, 1]	β	0.0	-0.10839811114565713	-1.514038802884423	0.0	0.0	0.0	0.0
β[92, 1]	β	0.0	-0.009843355739568292	0.0	0.0	0.0	0.0	0.0
β[93, 1]	β	0.0	-0.024234656802208026	0.0	0.0	0.0	0.0	0.0
β[94, 1]	β	0.0	-0.01150762227587881	0.0	0.0	0.0	0.0	0.0
β[95, 1]	β	0.0	-0.0010947438211936391	0.0	0.0	0.0	0.0	0.0
β[96, 1]	β	0.0	0.001913416057391709	0.0	0.0	0.0	0.0	0.0
β[97, 1]	β	0.0	0.004142673587527261	0.0	0.0	0.0	0.0	0.0
β[98, 1]	β	0.0	-0.027688534848103255	0.0	0.0	0.0	0.0	0.0
β[99, 1]	β	0.0	0.0028997486227507973	0.0	0.0	0.0	0.0	0.0
β[100, 1]	β	0.0	0.016724206222042872	0.0	0.0	0.0	0.0	0.0
