mamba_name	mamba_node	value	mean	2.5%	25.0%	50.0%	75.0%	97.5%
β[1, 1]	β	0.0	0.002914960351914195	0.0	0.0	0.0	0.0	0.0
β[2, 1]	β	0.0	-0.0025605932920596645	0.0	0.0	0.0	0.0	0.0
β[3, 1]	β	0.0	-0.0029092944946890673	0.0	0.0	0.0	0.0	0.0
β[4, 1]	β	0.0	0.006629856780833006	0.0	0.0	0.0	0.0	0.0
β[5, 1]	β	0.0	-0.0022191607296024977	0.0	0.0	0.0	0.0	0.0
β[6, 1]	β	0.0	-0.0060858953118887085	0.0	0.0	0.0	0.0	0.0
β[7, 1]	β	0.0	-0.01011789346089406	0.0	0.0	0.0	0.0	0.0
β[8, 1]	β	0.0	-0.001958655355715679	0.0	0.0	0.0	0.0	0.0
β[9, 1]	β	0.0	-0.003381616151330508	0.0	0.0	0.0	0.0	0.0
β[10, 1]	β	0.0	-0.025228303060477835	0.0	0.0	0.0	0.0	0.0
β[11, 1]	β	0.0	0.0008325730753090132	0.0	0.0	0.0	0.0	0.0
β[12, 1]	β	0.0	-0.005933607456372117	0.0	0.0	0.0	0.0	0.0
β[13, 1]	β	0.0	0.002255162512905133	0.0	0.0	0.0	0.0	0.0
β[14, 1]	β	0.0	-0.003385343942501689	0.0	0.0	0.0	0.0	0.0
β[15, 1]	β	0.0	0.00026592614707174843	0.0	0.0	0.0	0.0	0.0
β[16, 1]	β	0.0	-0.00760312318294489	0.0	0.0	0.0	0.0	0.0
β[17, 1]	β	0.0	-0.009009428408257431	0.0	0.0	0.0	0.0	0.0
β[18, 1]	β	0.0	-0.004215764271536575	0.0	0.0	0.0	0.0	0.0
β[19, 1]	β	0.0	-0.0024902752435289307	0.0	0.0	0.0	0.0	0.0
β[20, 1]	β	0.0	-0.0014971036680659982	0.0	0.0	0.0	0.0	0.0
β[21, 1]	β	0.0	-0.0018806022475889798	0.0	0.0	0.0	0.0	0.0
β[22, 1]	β	0.0	-0.0018435567673446922	0.0	0.0	0.0	0.0	0.0
β[23, 1]	β	0.0	0.000977479986326435	0.0	0.0	0.0	0.0	0.0
β[24, 1]	β	0.0	-0.002145417722576897	0.0	0.0	0.0	0.0	0.0
β[25, 1]	β	0.0	-0.004511215764870157	0.0	0.0	0.0	0.0	0.0
β[26, 1]	β	0.0	-0.0014258095669638807	0.0	0.0	0.0	0.0	0.0
β[27, 1]	β	0.0	-0.0028922445787730464	0.0	0.0	0.0	0.0	0.0
β[28, 1]	β	0.0	0.0007306434849994304	0.0	0.0	0.0	0.0	0.0
β[29, 1]	β	0.0	0.0013502100287858623	0.0	0.0	0.0	0.0	0.0
β[30, 1]	β	0.0	0.0002738975129447273	0.0	0.0	0.0	0.0	0.0
β[31, 1]	β	0.0	0.009187841432418069	0.0	0.0	0.0	0.0	0.0
β[32, 1]	β	0.0	0.003018432385096273	0.0	0.0	0.0	0.0	0.0
β[33, 1]	β	0.0	0.004369678553366362	0.0	0.0	0.0	0.0	0.0
β[34, 1]	β	0.0	0.018614595115532536	0.0	0.0	0.0	0.0	0.0
β[35, 1]	β	0.0	0.0039278414821352975	0.0	0.0	0.0	0.0	0.0
β[36, 1]	β	0.0	0.011879797662222476	0.0	0.0	0.0	0.0	0.0
β[37, 1]	β	0.0	0.0010953679104635122	0.0	0.0	0.0	0.0	0.0
β[38, 1]	β	0.0	0.007993283835483473	0.0	0.0	0.0	0.0	0.0
β[39, 1]	β	0.0	0.002803278037307525	0.0	0.0	0.0	0.0	0.0
β[40, 1]	β	0.0	0.0021161666017732185	0.0	0.0	0.0	0.0	0.0
β[41, 1]	β	0.0	0.00634028869019816	0.0	0.0	0.0	0.0	0.0
