γ_var[1]	γ_var[2]
4.867873120650642	1.4787581613425682
4.85181444869821	1.3645918013091674
5.416519757781759	1.2557027850669393
4.908297901529494	1.3741855793019302
4.953507817471592	1.5375048020910247
4.960833351397732	1.5718681033840791
4.931485435383494	1.5611889075311858
4.7848309117070595	1.6917164856178761
4.429348779379478	1.5786519345788104
4.402137287887087	1.5401313124156204
4.815953145352717	1.5871401709959378
4.218628738210635	1.6674162365786156
5.18647004707214	1.5503585705249063
4.8030728706109125	1.5657445127058205
4.30155305783248	1.5740692751490009
4.260241486304691	1.6855983665033867
4.299049750891804	1.614422343865081
4.3759729145459785	1.51992382679824
4.372916271318391	1.5463854464698
3.9109172844381788	1.4803156489688114
4.738077995372295	1.589200275234808
4.870954552921285	1.5092452318111969
4.8305720332827	1.5553248603944356
4.4055680522349565	1.5136889119425185
4.616317562539286	1.490939366288555
5.4014062969317935	1.5994097397926867
4.962527559273113	1.6068526317580416
4.762566278103832	1.4626010174008113
5.305824908185644	1.5395376094297273
4.440815432280832	1.5575591880238244
4.779792368497421	1.5874503314890223
4.238145298692412	1.4459012021709194
4.136410210371276	1.3826573417810444
4.8567288461891875	1.3930574872594736
4.735628703553543	1.3168021131143905
4.8900152683830465	1.4659001153286735
4.5857320510894946	1.4215930942951351
4.41339161102323	1.512214095651297
5.150673707388915	1.421150460170834
5.068993701382417	1.3455039655390444
4.2122521874809	1.3570023772450774
4.863860475689825	1.3452980483564785
4.262518553307635	1.407812518107009
4.772238891272017	1.3038652588948203
4.634361177222583	1.2669831746524443
5.071993583555119	1.281411547576532
4.403579666105442	1.3599272197405523
4.190672150367274	1.4817815072679112
4.579203564670957	1.5153823706919236
5.328068770106854	1.3850525893179015
4.886357478064536	1.516466019561771
4.880903186021606	1.4410458075683081
4.409520814967953	1.5654010802753209
4.751836245402972	1.592818473891926
4.603418877155172	1.587962665726383
4.58223186778736	1.6276920620020334
4.748274769388501	1.5958041912664265
4.870163671609246	1.3326993049800322
4.722848142188442	1.400877954267416
5.19740797589647	1.3898239174546687
5.014081488138908	1.5562603147259852
4.825649982242431	1.5382748578004026
4.993576447363558	1.5574107186177435
4.831085331816187	1.542820187567411
5.996005037475619	1.4788863930336122
5.637360658196102	1.531801222581888
5.211521079305948	1.492892919473341
5.543552083487607	1.482428795859288
4.981096778375753	1.486708578064306
5.624696410921833	1.5066190442410499
5.183572464882803	1.4987406197896924
5.610582998771022	1.4172976656843934
5.533230998741169	1.4313689613932727
5.586950771736065	1.4956256984165515
5.596716790460407	1.5275062958720438
5.79430757752229	1.410082702946274
5.736328895865316	1.373857504675473
5.813991232865509	1.376682213800514
5.7313414035922445	1.4038587008382313
5.677211851694753	1.558261108949476
6.121389838512196	1.5572602863283356
6.058613301683241	1.5540330299692233
5.067693560132306	1.6662652944292033
5.373144389686825	1.5591561005325638
5.296573188092521	1.71428058076765
5.619346238586771	1.648715677586895
5.678031213189549	1.490464854014816
5.568760140494133	1.5083653730444193
5.224200759194106	1.5017290718555725
5.250396761214949	1.6797286353999945
5.175964250450352	1.6677897105039454
5.056956668847547	1.614552640113944
5.7126592367108255	1.5791433854889112
5.343760678648898	1.6154739798162618
6.56423400682006	1.6368492953348919
6.1732615624902225	1.5899753610449423
4.766849772906706	1.6439761298934878
5.563001690053593	1.5390880719519802
5.580613348673885	1.6623717804015863
5.799271341343059	1.815005516056072
5.310722102213688	1.7569558063048063
4.740093314189155	1.72512224765612
5.918629088974389	1.838012007025659
5.619716573946817	1.5790743473497346
5.430730003840886	1.6396587971421603
5.303850083046862	1.5755999977986928
5.123241720448264	1.6162687358044425
5.4504731125585915	1.6660106129019716
5.235342678499143	1.7206167382195594
5.7428941886199825	1.5866828876086712
4.472166060429019	1.654268132171921
5.284932522121343	1.7515613386438071
4.747786010942066	1.751833115280956
5.449754225920087	1.8532127363532431
5.4529480919289535	1.7650032296070342
6.380264220196932	1.7153664619386377
5.021586547659898	1.779959135030181
4.913964438706775	1.7824696053395825
5.158393569503833	1.8586690794544736
5.0384983208400795	1.8082435338093403
4.6477254142351505	1.6395483857460793
4.535546249891791	1.624442309622782
4.490454916660024	1.7980468007359036
4.9902990914596375	1.6951340176186742
5.689181656593001	1.7488238148035613
4.709153517689408	1.7575096460198434
4.668464506534816	1.9598743479045782
4.758539625819846	1.7556656182659929
4.749389216404326	1.7594352547114849
5.038009221727816	1.721553085044587
5.301636219133342	1.8280438413388795
5.096668387928373	1.7284049903535363
5.7264342344942385	1.7939457692882448
4.8788103651023915	1.7841056857609967
4.579412182606095	1.6963592345702752
4.695555203627164	1.635759178426722
5.2307584424335944	1.5903665315240094
4.417977144243159	1.5093657300921515
4.703300115847799	1.6347113390614358
4.7732559419172755	1.6064386624240148
5.523918936059947	1.6756262798455155
4.954087196830459	1.7500388466385721
5.314355666913896	1.7391997673848085
5.077833832307317	1.6164484008580418
5.40116197903763	1.5456995995794598
4.994339089743239	1.4355397745404759
5.568385764625698	1.4993763025948512
5.002647519097462	1.641609736820209
4.913689614231093	1.534893509843379
5.161366581069673	1.537710268748863
5.096165359491002	1.6443058271684705
4.820857035647532	1.4846696504546277
5.073239138197376	1.6162910193630224
6.100285277041281	1.6043727518829138
4.998937973984446	1.5465127761533553
6.009364521202219	1.6223460923722568
5.901068700969039	1.6028823061933886
5.395040093857054	1.7182336701188017
4.960459398027481	1.609996455897315
5.008810557801691	1.583319585287052
4.77825522931344	1.688537702204847
4.8278455537166876	1.67938824455106
5.034012963105827	1.7270777764003231
4.624729276323348	1.7127275172116532
