mamba_name	mamba_node	value	mean	2.5%	25.0%	50.0%	75.0%	97.5%
β[1, 1]	β	0.0	0.0044054478802283545	0.0	0.0	0.0	0.0	0.0
β[2, 1]	β	0.0	-0.0005913273508593806	0.0	0.0	0.0	0.0	0.0
β[3, 1]	β	0.0	0.0018187155906685794	0.0	0.0	0.0	0.0	0.0
β[4, 1]	β	0.0	-0.00034044688121160976	0.0	0.0	0.0	0.0	0.0
β[5, 1]	β	0.0	0.006551644082431709	0.0	0.0	0.0	0.0	0.0
β[6, 1]	β	0.0	0.00836610841021808	0.0	0.0	0.0	0.0	0.0
β[7, 1]	β	0.0	0.005117652935424868	0.0	0.0	0.0	0.0	0.0
β[8, 1]	β	0.0	0.006266113905368348	0.0	0.0	0.0	0.0	0.0
β[9, 1]	β	0.0	0.004660894641468691	0.0	0.0	0.0	0.0	0.0
β[10, 1]	β	0.0	0.008878536023439352	0.0	0.0	0.0	0.0	0.0
β[11, 1]	β	0.0	0.0013464728706406148	0.0	0.0	0.0	0.0	0.0
β[12, 1]	β	0.0	0.005355397622252903	0.0	0.0	0.0	0.0	0.0
β[13, 1]	β	0.0	0.0075078051331313456	0.0	0.0	0.0	0.0	0.0
β[14, 1]	β	0.0	0.0023823484871848097	0.0	0.0	0.0	0.0	0.0
β[15, 1]	β	0.0	0.008543812886241238	0.0	0.0	0.0	0.0	0.0
β[16, 1]	β	0.0	-0.005562014339432744	0.0	0.0	0.0	0.0	0.0
β[17, 1]	β	0.0	-0.006511797087283382	0.0	0.0	0.0	0.0	0.0
β[18, 1]	β	0.0	-0.015581110351599658	0.0	0.0	0.0	0.0	0.0
β[19, 1]	β	0.0	-0.021856986511770992	-0.13371801303046976	0.0	0.0	0.0	0.0
β[20, 1]	β	0.0	-0.006810620272959887	0.0	0.0	0.0	0.0	0.0
β[21, 1]	β	0.0	0.0015898623245088964	0.0	0.0	0.0	0.0	0.0
β[22, 1]	β	0.0	-0.0006936463235588595	0.0	0.0	0.0	0.0	0.0
β[23, 1]	β	0.0	0.0019916289579719796	0.0	0.0	0.0	0.0	0.0
β[24, 1]	β	0.0	-0.01085251067065709	0.0	0.0	0.0	0.0	0.0
β[25, 1]	β	0.0	-0.0032243768948259422	0.0	0.0	0.0	0.0	0.0
β[26, 1]	β	0.0	-0.0008033188058622278	0.0	0.0	0.0	0.0	0.0
β[27, 1]	β	0.0	0.00800775858048502	0.0	0.0	0.0	0.0	0.0
β[28, 1]	β	0.0	0.013275785643916954	0.0	0.0	0.0	0.0	0.0
β[29, 1]	β	0.0	0.01698777537802214	0.0	0.0	0.0	0.0	0.0
β[30, 1]	β	0.0	0.020384817352278657	0.0	0.0	0.0	0.0	0.0
β[31, 1]	β	0.0	-0.0009056783495396825	0.0	0.0	0.0	0.0	0.0
β[32, 1]	β	0.0	0.011909638556494876	0.0	0.0	0.0	0.0	0.0
β[33, 1]	β	0.0	0.003979121119688999	0.0	0.0	0.0	0.0	0.0
β[34, 1]	β	0.0	0.007281227349052396	0.0	0.0	0.0	0.0	0.0
β[35, 1]	β	0.0	0.028279121292313684	0.0	0.0	0.0	0.0	0.0
β[36, 1]	β	0.0	0.017702948149533923	0.0	0.0	0.0	0.0	0.0
β[37, 1]	β	0.0	0.002724161004215809	0.0	0.0	0.0	0.0	0.0
β[38, 1]	β	0.0	-0.0002033138137953081	0.0	0.0	0.0	0.0	0.0
β[39, 1]	β	0.0	0.0034068309038155073	0.0	0.0	0.0	0.0	0.0
β[40, 1]	β	0.0	0.004537435641059175	0.0	0.0	0.0	0.0	0.0
β[41, 1]	β	0.0	0.0035788417839505353	0.0	0.0	0.0	0.0	0.0
β[42, 1]	β	0.0	-0.0007361389010768546	0.0	0.0	0.0	0.0	0.0
β[43, 1]	β	0.0	-0.0019383796104313852	0.0	0.0	0.0	0.0	0.0
β[44, 1]	β	0.0	0.0014855396148857171	0.0	0.0	0.0	0.0	0.0
β[45, 1]	β	0.0	-0.0001863794744253775	0.0	0.0	0.0	0.0	0.0
β[46, 1]	β	0.0	-0.006621884510430022	0.0	0.0	0.0	0.0	0.0
β[47, 1]	β	0.0	-0.0038298799251321107	0.0	0.0	0.0	0.0	0.0
β[48, 1]	β	0.0	5.733239538857572e-5	0.0	0.0	0.0	0.0	0.0
β[49, 1]	β	0.0	-0.0023809275983021462	0.0	0.0	0.0	0.0	0.0
β[50, 1]	β	0.0	-0.00516067211767588	0.0	0.0	0.0	0.0	0.0
β[51, 1]	β	0.0	-0.01965371303127673	0.0	0.0	0.0	0.0	0.0
β[52, 1]	β	0.0	-0.0014406367254620029	0.0	0.0	0.0	0.0	0.0
β[53, 1]	β	0.0	0.002987460202375151	0.0	0.0	0.0	0.0	0.0
β[54, 1]	β	0.0	-0.0019156875303509902	0.0	0.0	0.0	0.0	0.0
β[55, 1]	β	0.0	0.004634739208788922	0.0	0.0	0.0	0.0	0.0
β[56, 1]	β	0.0	0.0031512513433492335	0.0	0.0	0.0	0.0	0.0
β[57, 1]	β	0.0	0.0024936889617342755	0.0	0.0	0.0	0.0	0.0
β[58, 1]	β	0.0	0.003023357396170563	0.0	0.0	0.0	0.0	0.0
β[59, 1]	β	0.0	0.0003249700741038182	0.0	0.0	0.0	0.0	0.0
β[60, 1]	β	0.0	-0.007516145049087689	0.0	0.0	0.0	0.0	0.0
β[61, 1]	β	0.0	0.011449476779637898	0.0	0.0	0.0	0.0	0.0
β[62, 1]	β	0.0	0.0003551183177160435	0.0	0.0	0.0	0.0	0.0
β[63, 1]	β	0.0	-0.003335959284969845	0.0	0.0	0.0	0.0	0.0
β[64, 1]	β	0.0	0.0075540222998448465	0.0	0.0	0.0	0.0	0.0
β[65, 1]	β	0.0	-0.00010092364686371329	0.0	0.0	0.0	0.0	0.0
β[66, 1]	β	0.0	0.0026282450711074762	0.0	0.0	0.0	0.0	0.0
β[67, 1]	β	0.0	0.020668193189565316	0.0	0.0	0.0	0.0	0.0
β[68, 1]	β	0.0	0.0031363920523934784	0.0	0.0	0.0	0.0	0.0
β[69, 1]	β	0.0	0.007396091403787486	0.0	0.0	0.0	0.0	0.0
β[70, 1]	β	0.0	0.004074048829631653	0.0	0.0	0.0	0.0	0.0
β[71, 1]	β	0.0	-0.001689853236307006	0.0	0.0	0.0	0.0	0.0
β[72, 1]	β	0.0	-0.008111877384799054	0.0	0.0	0.0	0.0	0.0
β[73, 1]	β	0.0	0.002161883985675499	0.0	0.0	0.0	0.0	0.0
β[74, 1]	β	0.0	-0.13442494497965862	-1.7497416309657237	0.0	0.0	0.0	0.0
β[75, 1]	β	0.0	-0.0038826448358660025	0.0	0.0	0.0	0.0	0.0
β[76, 1]	β	0.0	-0.0029866008587512544	0.0	0.0	0.0	0.0	0.0
β[77, 1]	β	0.0	-0.009146434134187902	0.0	0.0	0.0	0.0	0.0
β[78, 1]	β	0.0	-0.00999863246337123	0.0	0.0	0.0	0.0	0.0
β[79, 1]	β	0.0	-0.011446688539761092	0.0	0.0	0.0	0.0	0.0
β[80, 1]	β	0.0	-0.0009562776375414126	0.0	0.0	0.0	0.0	0.0
β[81, 1]	β	0.0	-0.0008223609273719772	0.0	0.0	0.0	0.0	0.0
β[82, 1]	β	0.0	-0.05873872372266907	0.0	0.0	0.0	0.0	0.0
β[83, 1]	β	0.0	-0.0014106810427838314	0.0	0.0	0.0	0.0	0.0
β[84, 1]	β	0.0	-0.0024154063725145437	0.0	0.0	0.0	0.0	0.0
β[85, 1]	β	0.0	-0.0001181565768785877	0.0	0.0	0.0	0.0	0.0
β[86, 1]	β	0.0	-0.0021843668031362364	0.0	0.0	0.0	0.0	0.0
β[87, 1]	β	0.0	0.0011800698091683492	0.0	0.0	0.0	0.0	0.0
β[88, 1]	β	0.0	0.009401716310898802	0.0	0.0	0.0	0.0	0.0
β[89, 1]	β	0.0	0.002706454940104437	0.0	0.0	0.0	0.0	0.0
β[90, 1]	β	0.0	0.0061201967610736005	0.0	0.0	0.0	0.0	0.0
β[91, 1]	β	0.0	-0.0005664436067424932	0.0	0.0	0.0	0.0	0.0
β[92, 1]	β	0.0	-0.001114475228795256	0.0	0.0	0.0	0.0	0.0
β[93, 1]	β	0.0	0.0	0.0	0.0	0.0	0.0	0.0
β[94, 1]	β	0.0	-0.008895825740001336	0.0	0.0	0.0	0.0	0.0
β[95, 1]	β	0.0	-0.0023082505497358996	0.0	0.0	0.0	0.0	0.0
β[96, 1]	β	0.0	-0.003060861103895232	0.0	0.0	0.0	0.0	0.0
β[97, 1]	β	0.0	-0.03122979766395595	0.0	0.0	0.0	0.0	0.0
β[98, 1]	β	0.0	-0.003176029147219647	0.0	0.0	0.0	0.0	0.0
β[99, 1]	β	0.0	-0.0014152486476128284	0.0	0.0	0.0	0.0	0.0
β[100, 1]	β	0.0	-0.0088542561135183	0.0	0.0	0.0	0.0	0.0
