mamba_name	mamba_node	value	mean	2.5%	25.0%	50.0%	75.0%	97.5%
β[1, 1]	β	0.0	0.001967176133831221	0.0	0.0	0.0	0.0	0.0
β[2, 1]	β	0.0	-0.0013377045304724241	0.0	0.0	0.0	0.0	0.0
β[3, 1]	β	0.0	-0.011953764816251652	0.0	0.0	0.0	0.0	0.0
β[4, 1]	β	0.0	3.577855631318156e-6	0.0	0.0	0.0	0.0	0.0
β[5, 1]	β	0.0	0.0007672220101487554	0.0	0.0	0.0	0.0	0.0
β[6, 1]	β	0.0	-0.009706432734062331	0.0	0.0	0.0	0.0	0.0
β[7, 1]	β	0.0	0.0072807965402350286	0.0	0.0	0.0	0.0	0.0
β[8, 1]	β	0.0	-0.006249576165910832	0.0	0.0	0.0	0.0	0.0
β[9, 1]	β	0.0	0.0063142082984417765	0.0	0.0	0.0	0.0	0.0
β[10, 1]	β	0.0	-0.014966530135143596	0.0	0.0	0.0	0.0	0.0
β[11, 1]	β	0.0	0.001419174582564679	0.0	0.0	0.0	0.0	0.0
β[12, 1]	β	0.0	-0.01926468209347462	0.0	0.0	0.0	0.0	0.0
β[13, 1]	β	0.0	-0.006516882838290842	0.0	0.0	0.0	0.0	0.0
β[14, 1]	β	0.0	-0.009367531651064784	0.0	0.0	0.0	0.0	0.0
β[15, 1]	β	0.0	0.001279994782601143	0.0	0.0	0.0	0.0	0.0
β[16, 1]	β	0.0	0.0014112783253306298	0.0	0.0	0.0	0.0	0.0
β[17, 1]	β	0.0	0.0014124773685324995	0.0	0.0	0.0	0.0	0.0
β[18, 1]	β	0.0	0.0017262429434126223	0.0	0.0	0.0	0.0	0.0
β[19, 1]	β	0.0	-0.03586111041752259	0.0	0.0	0.0	0.0	0.0
β[20, 1]	β	0.0	0.0013825319555717899	0.0	0.0	0.0	0.0	0.0
β[21, 1]	β	0.0	-0.005298883967374258	0.0	0.0	0.0	0.0	0.0
β[22, 1]	β	0.0	-0.002447409338852031	0.0	0.0	0.0	0.0	0.0
β[23, 1]	β	0.0	0.002469361009668489	0.0	0.0	0.0	0.0	0.0
β[24, 1]	β	0.0	0.0012517526507961276	0.0	0.0	0.0	0.0	0.0
β[25, 1]	β	0.0	-0.007269689702586495	0.0	0.0	0.0	0.0	0.0
β[26, 1]	β	0.0	0.0009683466947006769	0.0	0.0	0.0	0.0	0.0
β[27, 1]	β	0.0	-0.0011527190963161115	0.0	0.0	0.0	0.0	0.0
β[28, 1]	β	0.0	0.009864564902487025	0.0	0.0	0.0	0.0	0.0
β[29, 1]	β	0.0	0.0001588593997530675	0.0	0.0	0.0	0.0	0.0
β[30, 1]	β	0.0	0.0367191216341824	0.0	0.0	0.0	0.0	0.0
β[31, 1]	β	1.152118324825933	0.005861306229098828	0.0	0.0	0.0	0.0	0.0
β[32, 1]	β	1.152118324825933	0.008627430385405277	0.0	0.0	0.0	0.0	0.0
β[33, 1]	β	1.152118324825933	0.024464432749054386	0.0	0.0	0.0	0.0	0.0
β[34, 1]	β	1.152118324825933	0.008607276015471857	0.0	0.0	0.0	0.0	0.0
β[35, 1]	β	1.152118324825933	0.007394171335598353	0.0	0.0	0.0	0.0	0.0
β[36, 1]	β	0.0	0.002271871920352589	0.0	0.0	0.0	0.0	0.0
β[37, 1]	β	0.0	0.006868114038269296	0.0	0.0	0.0	0.0	0.0
β[38, 1]	β	0.0	-0.015203134835211464	0.0	0.0	0.0	0.0	0.0
β[39, 1]	β	0.0	0.00032548548261580835	0.0	0.0	0.0	0.0	0.0
β[40, 1]	β	0.0	0.009562629688316922	0.0	0.0	0.0	0.0	0.0
β[41, 1]	β	0.0	-0.007714289960522411	0.0	0.0	0.0	0.0	0.0
β[42, 1]	β	0.0	-0.006822454158137519	0.0	0.0	0.0	0.0	0.0
β[43, 1]	β	0.0	-0.005837313443875829	0.0	0.0	0.0	0.0	0.0
β[44, 1]	β	0.0	-0.01077744111153521	0.0	0.0	0.0	0.0	0.0
β[45, 1]	β	0.0	-0.007770703840583927	0.0	0.0	0.0	0.0	0.0
β[46, 1]	β	-2.7935415173026916	-0.41136072213669544	-4.192148357250638	0.0	0.0	0.0	0.0
β[47, 1]	β	-2.7935415173026916	-0.2860097033918376	-3.6654301857380327	0.0	0.0	0.0	0.0
β[48, 1]	β	-2.7935415173026916	-0.07900669415321576	-1.4367580052902125	0.0	0.0	0.0	0.0
β[49, 1]	β	-2.7935415173026916	-0.043991299758095355	-0.4742322280896661	0.0	0.0	0.0	0.0
β[50, 1]	β	-2.7935415173026916	-0.12529092136920214	-2.4967225039053402	0.0	0.0	0.0	0.0
β[51, 1]	β	0.0	-0.007407180636517581	0.0	0.0	0.0	0.0	0.0
β[52, 1]	β	0.0	0.00473808492913123	0.0	0.0	0.0	0.0	0.0
β[53, 1]	β	0.0	0.0067620190460887675	0.0	0.0	0.0	0.0	0.0
β[54, 1]	β	0.0	-0.0005442186770037222	0.0	0.0	0.0	0.0	0.0
β[55, 1]	β	0.0	-0.001465801952035644	0.0	0.0	0.0	0.0	0.0
β[56, 1]	β	0.0	0.003337474801673287	0.0	0.0	0.0	0.0	0.0
β[57, 1]	β	0.0	0.0023353962801592855	0.0	0.0	0.0	0.0	0.0
β[58, 1]	β	0.0	0.0024853064656236313	0.0	0.0	0.0	0.0	0.0
β[59, 1]	β	0.0	0.022732098258845933	0.0	0.0	0.0	0.0	0.0
β[60, 1]	β	0.0	0.08933211477287015	0.0	0.0	0.0	0.0	1.7067493916389516
β[61, 1]	β	0.0	0.23925386715579425	0.0	0.0	0.0	0.0	2.7103431176080237
β[62, 1]	β	0.0	0.024658635876349422	0.0	0.0	0.0	0.0	0.0
β[63, 1]	β	0.0	0.07520746461381503	0.0	0.0	0.0	0.0	1.4379304664065344
β[64, 1]	β	0.0	0.09770595443984169	0.0	0.0	0.0	0.0	1.7061152691951784
β[65, 1]	β	0.0	0.041974909987372286	0.0	0.0	0.0	0.0	0.1289481518585649
β[66, 1]	β	0.0	0.005270758734545165	0.0	0.0	0.0	0.0	0.0
β[67, 1]	β	0.0	0.01885738008546041	0.0	0.0	0.0	0.0	0.0
β[68, 1]	β	0.0	0.014854289540065903	0.0	0.0	0.0	0.0	0.0
β[69, 1]	β	0.0	-0.009597925189547213	0.0	0.0	0.0	0.0	0.0
β[70, 1]	β	0.0	0.00388370490971815	0.0	0.0	0.0	0.0	0.0
β[71, 1]	β	0.0	-0.0067719559775543114	0.0	0.0	0.0	0.0	0.0
β[72, 1]	β	0.0	0.003052793246209617	0.0	0.0	0.0	0.0	0.0
β[73, 1]	β	0.0	0.002128471173066809	0.0	0.0	0.0	0.0	0.0
β[74, 1]	β	0.0	-0.0005687586337392723	0.0	0.0	0.0	0.0	0.0
β[75, 1]	β	0.0	-0.00281292130370078	0.0	0.0	0.0	0.0	0.0
β[76, 1]	β	0.0	0.049264784424609825	0.0	0.0	0.0	0.0	0.06407490619116539
β[77, 1]	β	0.0	-0.0013860400903002966	0.0	0.0	0.0	0.0	0.0
β[78, 1]	β	0.0	-0.010862439597807853	0.0	0.0	0.0	0.0	0.0
β[79, 1]	β	0.0	-0.00799415644555256	0.0	0.0	0.0	0.0	0.0
β[80, 1]	β	0.0	-0.006970064228073063	0.0	0.0	0.0	0.0	0.0
β[81, 1]	β	0.0	-0.014838535252687949	0.0	0.0	0.0	0.0	0.0
β[82, 1]	β	0.0	-0.015253867192603923	0.0	0.0	0.0	0.0	0.0
β[83, 1]	β	0.0	-0.008610778668040178	0.0	0.0	0.0	0.0	0.0
β[84, 1]	β	0.0	0.0032148777383988096	0.0	0.0	0.0	0.0	0.0
β[85, 1]	β	0.0	0.00021282402529133394	0.0	0.0	0.0	0.0	0.0
β[86, 1]	β	0.0	0.00234555662517802	0.0	0.0	0.0	0.0	0.0
β[87, 1]	β	0.0	0.0011343684020150983	0.0	0.0	0.0	0.0	0.0
β[88, 1]	β	0.0	-0.0006278326724246271	0.0	0.0	0.0	0.0	0.0
β[89, 1]	β	0.0	0.0014857506600622031	0.0	0.0	0.0	0.0	0.0
β[90, 1]	β	0.0	-0.004380881388749404	0.0	0.0	0.0	0.0	0.0
β[91, 1]	β	0.0	-0.005155211534036547	0.0	0.0	0.0	0.0	0.0
β[92, 1]	β	0.0	-0.008992765616869323	0.0	0.0	0.0	0.0	0.0
β[93, 1]	β	0.0	-0.025970954080839666	0.0	0.0	0.0	0.0	0.0
β[94, 1]	β	0.0	0.0	0.0	0.0	0.0	0.0	0.0
β[95, 1]	β	0.0	-0.0010731956469772267	0.0	0.0	0.0	0.0	0.0
β[96, 1]	β	0.0	0.005371180137249442	0.0	0.0	0.0	0.0	0.0
β[97, 1]	β	0.0	0.0034204804209881337	0.0	0.0	0.0	0.0	0.0
β[98, 1]	β	0.0	0.014163946126372338	0.0	0.0	0.0	0.0	0.0
β[99, 1]	β	0.0	0.007938607883684905	0.0	0.0	0.0	0.0	0.0
β[100, 1]	β	0.0	0.0035204479806753707	0.0	0.0	0.0	0.0	0.0
