model	setting	rep	mamba_name	mamba_node	value	mean	2.5%	25.0%	50.0%	75.0%	97.5%
mimix-0-factors	setting01	rep1	β[41, 1]	β	-1.882419557309758	-1.978495437511619	-2.7883370907400393	-2.2956398723297617	-2.049407159370305	-1.7833195988582595	0.0
mimix-0-factors	setting01	rep1	β[42, 1]	β	-1.882419557309758	-2.0961117170047743	-3.087523638990918	-2.57116620122372	-2.2892647982482313	-1.9928721727448888	0.0
mimix-0-factors	setting01	rep1	β[43, 1]	β	-1.882419557309758	-2.2873936829714334	-3.035685671830935	-2.5584179881694245	-2.3354486859825743	-2.0973042417816243	-1.3155711860111488
mimix-0-factors	setting01	rep1	β[44, 1]	β	-1.882419557309758	-2.524043245306475	-4.150002038737158	-2.7190009732545177	-2.464415355426085	-2.226007169905736	-1.714944444247727
mimix-0-factors	setting01	rep1	β[45, 1]	β	-1.882419557309758	-2.2292755627086485	-3.0925057585004545	-2.4761380513827	-2.2475304361901314	-1.9653517404760623	-1.3962364833949936
mimix-0-factors	setting01	rep1	β[46, 1]	β	-2.7935415173026916	-2.798618631555874	-3.761450345642775	-3.157290981052099	-2.8893500680594864	-2.636174164831686	0.0
mimix-0-factors	setting01	rep1	β[47, 1]	β	-2.7935415173026916	-2.9102388742117005	-4.093743771994932	-3.1964393503800443	-2.909470262920975	-2.5866030777407665	-1.9430968147788912
mimix-0-factors	setting01	rep1	β[48, 1]	β	-2.7935415173026916	-2.8429381644638623	-3.5604101141226323	-3.130442553274861	-2.8404908322727453	-2.608624874946571	-2.0362259042082567
mimix-0-factors	setting01	rep1	β[49, 1]	β	-2.7935415173026916	-3.436691561698564	-6.125627891958514	-3.5801201837874617	-3.235160420053119	-2.9588402886573646	-2.439591525419538
mimix-0-factors	setting01	rep1	β[50, 1]	β	-2.7935415173026916	-3.194534757079401	-5.802419039239297	-3.4193357045814032	-3.096128117214941	-2.7417283192918	-2.140905856590599
mimix-0-factors	setting01	rep1	β[51, 1]	β	0.0	-0.0015736615616252156	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep1	β[52, 1]	β	0.0	-0.0007064669524865281	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep1	β[53, 1]	β	0.0	-0.003966079267041452	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep1	β[54, 1]	β	0.0	0.0016743884154139135	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep1	β[55, 1]	β	0.0	0.007540256625745904	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep1	β[56, 1]	β	0.0	0.004064611643088114	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep1	β[57, 1]	β	0.0	0.014069877841992604	0.0	0.0	0.0	0.0	0.23750027430170417
mimix-0-factors	setting01	rep1	β[58, 1]	β	0.0	0.03220498956845314	0.0	0.0	0.0	0.0	0.4679869338426375
mimix-0-factors	setting01	rep1	β[59, 1]	β	0.0	0.1010698357550332	0.0	0.0	0.0	0.0	0.938086190767212
mimix-0-factors	setting01	rep1	β[60, 1]	β	0.0	0.07442039972453282	0.0	0.0	0.0	0.0	0.7715793211021774
mimix-0-factors	setting01	rep1	β[61, 1]	β	0.0	0.2144166780795118	0.0	0.0	0.0	0.4859267563721184	1.0176309398592118
mimix-0-factors	setting01	rep1	β[62, 1]	β	0.0	0.12192871380483204	0.0	0.0	0.0	0.0	0.8940942107722265
mimix-0-factors	setting01	rep1	β[63, 1]	β	0.0	0.03430838768216011	0.0	0.0	0.0	0.0	0.6350520100249751
mimix-0-factors	setting01	rep1	β[64, 1]	β	0.0	0.015597285590681777	0.0	0.0	0.0	0.0	0.11730547240356688
mimix-0-factors	setting01	rep1	β[65, 1]	β	0.0	0.010599106355760573	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep1	β[66, 1]	β	0.0	0.010830854819220885	0.0	0.0	0.0	0.0	0.12487281626158118
mimix-0-factors	setting01	rep1	β[67, 1]	β	0.0	0.0015484284272879651	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep1	β[68, 1]	β	0.0	0.00451959878834238	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep1	β[69, 1]	β	0.0	0.004279156262074712	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep1	β[70, 1]	β	0.0	0.0008003641050047432	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep1	β[71, 1]	β	0.0	0.01843170041499451	0.0	0.0	0.0	0.0	0.4360177192489541
mimix-0-factors	setting01	rep1	β[72, 1]	β	0.0	0.009307226380360767	0.0	0.0	0.0	0.0	0.10766271891952416
mimix-0-factors	setting01	rep1	β[73, 1]	β	0.0	0.014952003524499153	0.0	0.0	0.0	0.0	0.2351107807829056
mimix-0-factors	setting01	rep1	β[74, 1]	β	0.0	0.007383207212116929	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep1	β[75, 1]	β	0.0	0.0026167095262616	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep1	β[76, 1]	β	0.0	0.005016993154754384	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep1	β[77, 1]	β	0.0	-0.005030259982000569	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep1	β[78, 1]	β	0.0	-0.01721233278807123	-0.3491284428039163	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep1	β[79, 1]	β	0.0	0.001118024604985701	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep1	β[80, 1]	β	0.0	0.0006448773109201436	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep1	β[81, 1]	β	0.0	-0.006683961895604894	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep1	β[82, 1]	β	0.0	0.0030893183988844213	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep1	β[83, 1]	β	0.0	-0.0008059407790812487	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep1	β[84, 1]	β	0.0	-0.008879781925935049	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep1	β[85, 1]	β	0.0	-0.009344426570223476	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep1	β[86, 1]	β	0.0	-0.09751641970470394	-1.485357892707239	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep1	β[87, 1]	β	0.0	-0.0017945481911307507	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep1	β[88, 1]	β	0.0	-0.011334973495853584	-0.19966357347347452	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep1	β[89, 1]	β	0.0	-0.0315540939574999	-0.647458658091513	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep1	β[90, 1]	β	0.0	0.005139707112634151	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep1	β[91, 1]	β	0.0	-0.05510483450642317	-0.7369347840097366	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep1	β[92, 1]	β	0.0	-0.03789424187645877	-0.4954959503392858	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep1	β[93, 1]	β	0.0	0.002735413664658439	0.0	0.0	0.0	0.0	0.042961889014861754
mimix-0-factors	setting01	rep1	β[94, 1]	β	0.0	0.016987416808799945	0.0	0.0	0.0	0.0	0.26876395744702136
