mamba_name	mamba_node	value	mean	2.5%	25.0%	50.0%	75.0%	97.5%
β[1, 1]	β	0.0	-0.014029209425140823	-0.2802672607513641	0.0	0.0	0.0	0.0
β[2, 1]	β	0.0	-0.019004414439335208	-0.464132251031928	0.0	0.0	0.0	0.0
β[3, 1]	β	0.0	-0.024625965028921948	-0.39838243013992036	0.0	0.0	0.0	0.0
β[4, 1]	β	0.0	-0.017115728207742393	-0.37205567083394153	0.0	0.0	0.0	0.0
β[5, 1]	β	0.0	-0.03463711041940495	-0.7407902008285681	0.0	0.0	0.0	0.0
β[6, 1]	β	0.0	-0.0054597052458528845	0.0	0.0	0.0	0.0	0.0
β[7, 1]	β	0.0	-0.0066424770556665945	0.0	0.0	0.0	0.0	0.0
β[8, 1]	β	0.0	-0.037317992760119836	-0.7885632905066599	0.0	0.0	0.0	0.0
β[9, 1]	β	0.0	-0.0018254095804308603	0.0	0.0	0.0	0.0	0.0
β[10, 1]	β	0.0	-0.0012746536563256754	0.0	0.0	0.0	0.0	0.0
β[11, 1]	β	2.284052126102366	1.5391382666079638	0.0	1.2778371506485882	1.7441886163759484	2.042488711741879	2.6501817600411792
β[12, 1]	β	2.284052126102366	1.135779981309856	0.0	0.0	1.375789061226279	1.8249609132914695	2.4760743408171515
β[13, 1]	β	2.284052126102366	1.5947007245525504	0.0	1.3429353876771573	1.7027308283225553	1.9966259226774392	2.640821444140453
β[14, 1]	β	2.284052126102366	1.1094947784925635	0.0	0.0	1.2853203524419916	1.8184447020673993	2.5682193845674828
β[15, 1]	β	2.284052126102366	1.1304862254770969	0.0	0.1832152042701366	1.3399163154139004	1.70383856318184	2.247987914904743
β[16, 1]	β	0.0	-0.015536019086501214	-0.0965295221642022	0.0	0.0	0.0	0.0
β[17, 1]	β	0.0	-0.008277672588069584	-0.07389095320950428	0.0	0.0	0.0	0.0
β[18, 1]	β	0.0	-0.002991824497568154	0.0	0.0	0.0	0.0	0.0
β[19, 1]	β	0.0	-0.010382199372436634	0.0	0.0	0.0	0.0	0.0
β[20, 1]	β	0.0	0.007900422357262992	0.0	0.0	0.0	0.0	0.0
β[21, 1]	β	0.0	-0.0071509739489308876	0.0	0.0	0.0	0.0	0.0
β[22, 1]	β	0.0	-0.0055557752259941025	0.0	0.0	0.0	0.0	0.0
